Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000000
2, 4, 6, 0.000000
3, 8, 28, 0.000000
4, 16, 120, 0.000000
5, 32, 496, 0.000000
6, 64, 2016, 0.000000
7, 128, 8128, 0.000000
8, 256, 32640, 0.000000
9, 512, 130816, 0.002995
10, 1024, 523776, 0.002993
11, 2048, 2096128, 0.015958
12, 4096, 8386560, 0.045652
13, 8192, 33550336, 0.184026
14, 16384, 134209536, 0.506003
15, 32768, 536854528, 1.779968
16, 65536, 2147450880, 6.984412
17, 131072, 8589869056, 27.865290
18, 262144, 34359607296, 111.530067
