Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000001
2, 4, 3, 0.000002
3, 8, 17, 0.000002
4, 16, 57, 0.000004
5, 32, 234, 0.000009
6, 64, 1116, 0.000035
7, 128, 4213, 0.000122
8, 256, 16368, 0.000506
9, 512, 64041, 0.002028
10, 1024, 259405, 0.006868
11, 2048, 1032633, 0.023169
12, 4096, 4217625, 0.089184
13, 8192, 16807985, 0.355136
14, 16384, 66632087, 1.413763
15, 32768, 268289479, 5.664543
16, 65536, 1073067110, 22.652903
17, 131072, 4289088626, 90.557236
18, 262144, 17143577423, 362.226562
