Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000004
2, 4, 1, 0.000002
3, 8, 13, 0.000003
4, 16, 20, 0.000004
5, 32, 77, 0.000007
6, 64, 280, 0.000014
7, 128, 629, 0.000029
8, 256, 1853, 0.000064
9, 512, 5453, 0.000162
10, 1024, 17782, 0.000408
11, 2048, 43113, 0.000938
12, 4096, 116043, 0.002311
13, 8192, 377247, 0.006088
14, 16384, 1103276, 0.010970
15, 32768, 2631882, 0.028813
16, 65536, 7345212, 0.066416
17, 131072, 22608492, 0.186458
18, 262144, 67221296, 0.526072
19, 524288, 224526545, 1.665775
20, 1048576, 530389637, 3.998597
21, 2097152, 2581720309, 18.518335
22, 4194304, 4157892943, 31.603146
23, 8388608, 10215797555, 77.829147
