Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000031
2, 4, 4, 0.000003
3, 8, 12, 0.000003
4, 16, 28, 0.000006
5, 32, 77, 0.000009
6, 64, 214, 0.000016
7, 128, 510, 0.000034
8, 256, 1298, 0.000069
9, 512, 2910, 0.000144
10, 1024, 6928, 0.000311
11, 2048, 15455, 0.000669
12, 4096, 34588, 0.001505
13, 8192, 77992, 0.003322
14, 16384, 172035, 0.006283
15, 32768, 385934, 0.010732
16, 65536, 833382, 0.022682
17, 131072, 1805308, 0.049122
18, 262144, 3893602, 0.105151
19, 524288, 8330128, 0.228409
20, 1048576, 17782161, 0.507343
21, 2097152, 37928056, 1.151798
22, 4194304, 80600195, 2.566156
23, 8388608, 170527954, 5.719000
24, 16777216, 359979494, 12.550708
25, 33554432, 754433853, 28.249535
26, 67108864, 1581902586, 63.439857
