Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000002
2, 4, 6, 0.000001
3, 8, 28, 0.000002
4, 16, 120, 0.000003
5, 32, 496, 0.000010
6, 64, 2016, 0.000034
7, 128, 8128, 0.000127
8, 256, 32640, 0.000505
9, 512, 130816, 0.002027
10, 1024, 523776, 0.008271
11, 2048, 2096128, 0.022040
12, 4096, 8386560, 0.088050
13, 8192, 33550336, 0.351663
14, 16384, 134209536, 1.407354
15, 32768, 536854528, 5.629565
16, 65536, 2147450880, 22.512886
17, 131072, 8589869056, 90.091713
18, 262144, 34359607296, 360.534271
