Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000000
2, 4, 0, 0.000000
3, 8, 0, 0.000000
4, 16, 0, 0.000000
5, 32, 0, 0.000000
6, 64, 0, 0.000000
7, 128, 0, 0.000000
8, 256, 0, 0.000000
9, 512, 0, 0.000000
10, 1024, 0, 0.000000
11, 2048, 0, 0.000000
12, 4096, 0, 0.000000
13, 8192, 0, 0.000995
14, 16384, 0, 0.000998
15, 32768, 0, 0.002991
16, 65536, 0, 0.006981
17, 131072, 0, 0.011967
18, 262144, 0, 0.022938
19, 524288, 0, 0.059819
20, 1048576, 0, 0.189181
21, 2097152, 0, 0.299078
22, 4194304, 0, 0.599806
23, 8388608, 0, 1.499873
24, 16777216, 0, 4.060737
25, 33554432, 0, 9.863578
26, 67108864, 0, 20.620438
27, 134217728, 0, 38.242805
28, 268435456, 0, 83.640373
