N Seno Cosseno
15 0.25882 0.96593
30 0.50000 0.86603
45 0.70711 0.70711
60 0.86603 0.50000
75 0.96593 0.25882
90 1.00000 0.00000
105 0.96593 -0.25882
120 0.86603 -0.50000
135 0.70711 -0.70711
150 0.50000 -0.86603
165 0.25882 -0.96593
180 0.00000 -1.00000
195 -0.25882 -0.96593
210 -0.50000 -0.86603
225 -0.70711 -0.70711
240 -0.86603 -0.50000
255 -0.96593 -0.25882
270 -1.00000 0.00000
285 -0.96593 0.25882
300 -0.86603 0.50000
315 -0.70711 0.70711
330 -0.50000 0.86603
345 -0.25882 0.96593
360 0.00000 1.00000
