Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000000
2, 4, 6, 0.000000
3, 8, 28, 0.000000
4, 16, 120, 0.000000
5, 32, 496, 0.000000
6, 64, 2016, 0.000000
7, 128, 8128, 0.000000
8, 256, 32640, 0.000000
9, 512, 130816, 0.000997
10, 1024, 523776, 0.005986
11, 2048, 2096128, 0.025930
12, 4096, 8386560, 0.058845
13, 8192, 33550336, 0.272079
14, 16384, 134209536, 0.829066
15, 32768, 536854528, 2.770794
16, 65536, 2147450880, 10.999927
17, 131072, 8589869056, 45.702850
18, 262144, 34359607296, 177.169434
