Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000000
2, 4, 0, 0.000000
3, 8, 0, 0.000000
4, 16, 0, 0.000000
5, 32, 0, 0.000000
6, 64, 0, 0.000000
7, 128, 0, 0.000000
8, 256, 0, 0.000000
9, 512, 0, 0.000000
10, 1024, 0, 0.000000
11, 2048, 0, 0.000998
12, 4096, 0, 0.000997
13, 8192, 0, 0.000999
14, 16384, 0, 0.001995
15, 32768, 0, 0.003989
16, 65536, 0, 0.009974
17, 131072, 0, 0.026927
18, 262144, 0, 0.061867
19, 524288, 0, 0.157684
20, 1048576, 0, 0.493681
21, 2097152, 0, 1.184548
22, 4194304, 0, 2.380500
23, 8388608, 0, 4.496750
24, 16777216, 0, 10.316251
25, 33554432, 0, 28.679989
26, 67108864, 0, 62.109570
27, 134217728, 0, 141.731308
28, 268435456, 0, 342.008789
