Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000083
2, 4, 3, 0.000000
3, 8, 11, 0.000000
4, 16, 30, 0.000000
5, 32, 74, 0.000000
6, 64, 205, 0.000000
7, 128, 487, 0.000000
8, 256, 1220, 0.000000
9, 512, 2863, 0.000083
10, 1024, 6736, 0.000166
11, 2048, 15492, 0.000416
12, 4096, 34691, 0.001080
13, 8192, 78199, 0.002327
14, 16384, 173699, 0.005070
15, 32768, 382630, 0.013630
16, 65536, 838107, 0.022548
17, 131072, 1794645, 0.046690
18, 262144, 3713554, 0.104864
19, 524288, 7562990, 0.213186
20, 1048576, 15276349, 0.422093
21, 2097152, 30667085, 1.046959
22, 4194304, 61518677, 2.273181
23, 8388608, 123099420, 4.758283
24, 16777216, 246295975, 9.970738
25, 33554432, 492925296, 22.971148
26, 67108864, 986011592, 47.917953
27, 134217728, 1975150039, 107.495850
28, 268435456, 3950583179, 235.405548
