Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000000
2, 4, 6, 0.000000
3, 8, 16, 0.000000
4, 16, 26, 0.000000
5, 32, 56, 0.000000
6, 64, 138, 0.000000
7, 128, 252, 0.000675
8, 256, 844, 0.000000
9, 512, 1730, 0.000000
10, 1024, 4184, 0.000000
11, 2048, 6900, 0.000000
12, 4096, 16226, 0.000997
13, 8192, 35912, 0.000998
14, 16384, 74764, 0.001994
15, 32768, 168678, 0.004988
16, 65536, 355212, 0.009974
17, 131072, 823466, 0.020943
18, 262144, 1496138, 0.043390
19, 524288, 3304536, 0.138630
20, 1048576, 6310620, 0.271466
21, 2097152, 13536972, 0.419612
22, 4194304, 30055132, 0.909811
23, 8388608, 66892228, 2.158724
24, 16777216, 132567572, 4.904139
25, 33554432, 257797324, 11.246347
26, 67108864, 569732186, 26.310190
27, 134217728, 1129485988, 58.139477
28, 268435456, 2437762010, 131.019836
