Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 50
4, 0.0000000000, 0.0000000000, 100
8, 0.0000000000, 0.0000000000, 200
16, 0.0000000000, 0.0000000000, 400
32, 0.0000000000, 0.0000000000, 800
64, 0.0009980000, 0.0000399200, 1600
128, 0.0000000000, 0.0000000000, 3200
256, 0.0009970000, 0.0000398800, 6400
512, 0.0029910000, 0.0001196400, 12800
1024, 0.0059859999, 0.0002394400, 25600
2048, 0.0129640000, 0.0005185600, 51200
4096, 0.0249320008, 0.0009972800, 102400
8192, 0.0388970003, 0.0015558801, 204800
16384, 0.1085240021, 0.0043409602, 409600
32768, 0.1898359954, 0.0075934399, 819200
65536, 0.3542299867, 0.0141691994, 1638400
131072, 0.5900070071, 0.0236002803, 3276800
262144, 1.1574850082, 0.0462994017, 6553600
524288, 2.4002890587, 0.0960115641, 13107200
