Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 30, 0.002958, 3, 0.000296, 0.0000000000, 0.0004519225
4, 70, 0.002368, 7, 0.000237, 0.0000000000, 0.0003954025
8, 150, 0.001641, 15, 0.000164, 0.0000000000, 0.0003390771
16, 310, 0.003373, 31, 0.000337, 0.0000000000, 0.0004295302
32, 630, 0.002759, 63, 0.000276, 0.0000000000, 0.0003893473
64, 1270, 0.003102, 127, 0.000310, 0.0000000000, 0.0003623644
128, 2550, 0.004157, 255, 0.000416, 0.0000000000, 0.0005111933
256, 5110, 0.002975, 511, 0.000297, 0.0000000000, 0.0004545775
512, 10230, 0.005070, 1023, 0.000507, 0.0000000000, 0.0004460549
1024, 20470, 0.000997, 2047, 0.000100, 0.0000000000, 0.0002991000
2048, 40950, 0.007062, 4095, 0.000706, 0.0000000000, 0.0004624718
4096, 81910, 0.010914, 8191, 0.001091, 0.0000000000, 0.0001881346
8192, 163830, 0.016805, 16383, 0.001681, 0.0000000000, 0.0005766027
16384, 327670, 0.031090, 32767, 0.003109, 0.0000000000, 0.0003092113
32768, 655350, 0.067039, 65535, 0.006704, 0.0000000000, 0.0004843206
65536, 1310710, 0.138649, 131071, 0.013865, 0.0000000000, 0.0005392179
131072, 2621430, 0.301142, 262143, 0.030114, 0.0000000000, 0.0009633707
262144, 5242870, 0.622726, 524287, 0.062273, 0.0000000000, 0.0006930411
524288, 10485750, 1.382476, 1048575, 0.138248, 0.0000000000, 0.0094783050
