Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 150, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 288, 0.000000, 6, 0.000000, 0.9707728880, 0.0000000000
8, 542, 0.000000, 11, 0.000000, 1.3169662107, 0.0000000000
16, 1078, 0.000000, 22, 0.000000, 1.7453939383, 0.0000000000
32, 2148, 0.000000, 43, 0.000000, 2.6680329833, 0.0000000000
64, 4240, 0.000000, 85, 0.000000, 3.4000000000, 0.0000000000
128, 8514, 0.000998, 170, 0.000020, 4.4498988753, 0.0001397200
256, 17012, 0.000997, 340, 0.000020, 7.0754787824, 0.0001395800
512, 34098, 0.004988, 682, 0.000100, 9.2713753025, 0.0002992800
1024, 68278, 0.017953, 1366, 0.000359, 11.0347813753, 0.0011591400
2048, 136694, 0.020952, 2734, 0.000419, 17.8130738504, 0.0005313466
4096, 272994, 0.037889, 5460, 0.000758, 29.0658837815, 0.0004702551
8192, 546088, 0.096749, 10922, 0.001935, 33.8629945516, 0.0007306991
16384, 1092712, 0.208433, 21854, 0.004169, 53.7101703591, 0.0017696846
32768, 2184942, 0.401929, 43699, 0.008039, 66.9600955794, 0.0019175814
65536, 4370170, 0.890910, 87403, 0.017818, 108.7279172982, 0.0028277342
131072, 8741266, 1.902015, 174825, 0.038040, 157.0479468188, 0.0064951332
262144, 17496588, 3.807511, 349932, 0.076150, 233.9295244299, 0.0156018913
524288, 35108162, 11.330521, 702163, 0.226610, 320.0724018093, 0.1238611527
