Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 50
4, 0.0000000000, 0.0000000000, 100
8, 0.0000000000, 0.0000000000, 200
16, 0.0000000000, 0.0000000000, 400
32, 0.0000000000, 0.0000000000, 800
64, 0.0000000000, 0.0000000000, 1600
128, 0.0000000000, 0.0000000000, 3200
256, 0.0000000000, 0.0000000000, 6400
512, 0.0097850002, 0.0003914000, 12800
1024, 0.0045050001, 0.0001802000, 25600
2048, 0.0090779997, 0.0003631200, 51200
4096, 0.0208769999, 0.0008350800, 102400
8192, 0.0360869989, 0.0014434799, 204800
16384, 0.0734660029, 0.0029386401, 409600
32768, 0.1663600057, 0.0066544004, 819200
65536, 0.3274660110, 0.0130986404, 1638400
131072, 0.6644669771, 0.0265786797, 3276800
262144, 1.3455359936, 0.0538214408, 6553600
524288, 2.8007490635, 0.1120299622, 13107200
