Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
4, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
8, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
16, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
32, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
64, 0, 0.009852, 0, 0.000197, 0.0000000000, 0.0013792799
128, 0, 0.009907, 0, 0.000198, 0.0000000000, 0.0013869800
256, 0, 0.010048, 0, 0.000201, 0.0000000000, 0.0014044361
512, 0, 0.024112, 0, 0.000482, 0.0000000000, 0.0013830834
1024, 0, 0.036480, 0, 0.000730, 0.0000000000, 0.0006114150
2048, 0, 0.078428, 0, 0.001569, 0.0000000000, 0.0022639361
4096, 0, 0.196396, 0, 0.003928, 0.0000000000, 0.0033514110
8192, 0, 0.368674, 0, 0.007373, 0.0000000000, 0.0035750091
16384, 0, 0.783789, 0, 0.015676, 0.0000000000, 0.0045307908
32768, 0, 1.477986, 0, 0.029560, 0.0000000000, 0.0057324695
65536, 0, 2.896876, 0, 0.057938, 0.0000000000, 0.0068489301
131072, 0, 5.820970, 0, 0.116419, 0.0000000000, 0.0102733736
262144, 0, 11.829482, 0, 0.236590, 0.0000000000, 0.0145901388
524288, 0, 23.045916, 0, 0.460918, 0.0000000000, 0.0246551435
