Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 200
4, 0.0000000000, 0.0000000000, 400
8, 0.0000000000, 0.0000000000, 800
16, 0.0000000000, 0.0000000000, 1600
32, 0.0000000000, 0.0000000000, 3200
64, 0.0149689997, 0.0001496900, 6400
128, 0.0219480004, 0.0002194800, 12800
256, 0.0229300000, 0.0002293000, 25600
512, 0.0408889987, 0.0004088900, 51200
1024, 0.1126409993, 0.0011264100, 102400
2048, 0.1563940048, 0.0015639401, 204800
4096, 0.3210909963, 0.0032109099, 409600
8192, 0.5051779747, 0.0050517796, 819200
16384, 0.9897999763, 0.0098979995, 1638400
32768, 2.0059010983, 0.0200590119, 3276800
65536, 4.0201530457, 0.0402015299, 6553600
131072, 7.9618120193, 0.0796181187, 13107200
262144, 16.6940994263, 0.1669409871, 26214400
524288, 32.3444595337, 0.3234446049, 52428800
